0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4f7db003,afa7015,0,2,1,75,4296a000,4,17675,1115,ef,0,-0.006000,-0.006000,-0.006000,-0.006000,1.808063,2.797688,0.611437,0.570000,104.108002,28.625969,40.000000,78.349998,79.362503,81.612503,
4f7db003,afa7015,0,3,1,75,4296d99a,4,17676,1115,ef,0,-0.006000,-0.006000,-0.003000,-0.006000,1.797562,2.794125,0.611813,0.571688,104.108002,28.625120,40.000000,78.349998,79.362503,81.612503,
4f7db003,afa7015,0,3,1,75,4296d99a,4,17676,1115,ef,0,-0.006000,-0.006000,-0.003000,-0.006000,1.797562,2.794125,0.611813,0.571688,104.108002,28.625120,40.000000,78.349998,79.362503,81.612503,
4f7db003,afa7015,0,3,1,75,4296d99a,4,17677,1115,ef,0,-0.006000,-0.006000,-0.006000,-0.006000,1.797188,2.795625,0.612188,0.573750,104.125999,28.625128,40.000000,78.237503,79.362503,81.612503,
4f7db003,afa7015,0,3,1,75,4296d99a,4,17678,1115,ef,0,-0.009000,-0.006000,-0.006000,-0.006000,1.808063,2.800500,0.610313,0.571312,104.125999,28.625986,40.000000,78.237503,79.362503,81.612503,
4f7db003,afa7015,0,3,1,75,4296d99a,4,17678,1115,ef,0,-0.009000,-0.006000,-0.006000,-0.006000,1.808063,2.800500,0.610313,0.571312,104.125999,28.625986,40.000000,78.237503,79.362503,81.612503,
4f7db003,afa7015,0,3,1,75,4296d99a,4,17679,1115,ef,0,-0.006000,-0.006000,-0.003000,-0.006000,1.808437,2.800313,0.610125,0.572438,104.144005,28.625990,40.000000,78.237503,79.362503,81.612503,
4f7db003,afa7015,0,3,1,75,4296d99a,4,17679,1115,ef,0,-0.006000,-0.006000,-0.003000,-0.006000,1.808437,2.800313,0.610125,0.572438,104.144005,28.625990,40.000000,78.237503,79.362503,81.612503,
4f7db003,afa7015,0,2,1,75,4296a000,4,17680,1115,ef,0,0.000000,-0.006000,-0.006000,-0.006000,1.803938,2.793937,0.607125,0.569250,104.125999,28.624277,40.000000,78.237503,79.362503,81.612503,
4f7db003,afa7015,0,3,1,75,4296a000,4,17681,1115,ef,0,0.000000,-0.006000,-0.006000,-0.006000,1.795313,2.793562,0.613312,0.572812,104.144005,28.625141,40.000000,78.125000,79.362503,81.612503,
